x,y,w,c
6.704680787282190302e+00,-1.020109546071942708e+00,2.320000000000000284e+00,1.092519515398250318e-01
6.902397223823989236e+00,-9.850816482104931548e-01,2.480000000000000426e+00,1.936271440668661525e-01
7.094887200366922109e+00,-9.432796158531950859e-01,2.640000000000000124e+00,3.479387685870207192e-01
7.277884321470621920e+00,-8.904191786283055521e-01,2.839999999999999858e+00,5.474620607408918760e-01
7.447120157680932273e+00,-8.222117239233590613e-01,3.040000000000000036e+00,8.044251819426485595e-01
7.598326279543694106e+00,-7.343686391258908985e-01,3.040000000000000036e+00,1.096246526196229309e+00
7.727234257604747469e+00,-6.226013116234354605e-01,2.919999999999999929e+00,1.309907665277716182e+00
7.829824341531517184e+00,-4.829463026551924498e-01,2.839999999999999858e+00,1.140108465024988194e+00
7.906356286796022204e+00,-3.170360730148858996e-01,2.759999999999999787e+00,7.878995277860504354e-01
7.960695502912224164e+00,-1.312178516887350654e-01,2.679999999999999716e+00,5.318009784978759980e-01
7.996820066755240930e+00,6.801380802791497093e-02,2.520000000000000462e+00,3.595260555606190622e-01
8.018708055200173490e+00,2.741643528397191276e-01,2.479999999999999982e+00,2.393291340950884638e-01
8.030337545122138820e+00,4.807392294513322950e-01,2.320000000000000284e+00,1.460207469715812389e-01
8.035651983192135361e+00,6.814639156460454705e-01,2.240000000000000213e+00,7.782179103781795837e-02
8.037804786701251203e+00,8.750835251311237517e-01,2.280000000000000249e+00,2.073323518161616918e-02
8.039162918796046498e+00,1.065340091445979187e+00,2.240000000000000213e+00,-4.217631050488753613e-02
8.042059427470649169e+00,1.256191135960994298e+00,2.399999999999999911e+00,-1.006487709411670595e-01
8.048827360719197799e+00,1.451594180046551052e+00,2.679999999999999716e+00,-1.445481243088769518e-01
8.061799200457539172e+00,1.655506172171376189e+00,1.199999999999999956e+00,-5.618799233638997054e-02
8.077673684460739523e+00,1.866182408797466996e+00,1.199999999999999956e+00,4.697478312932563127e-01
8.073673415517150787e+00,2.062167290514532958e+00,3.520000000000000462e+00,1.657317793459493593e+00
8.022862867162997347e+00,2.217792376602078619e+00,3.160000000000000142e+00,3.477092743733528835e+00
7.911224068058190895e+00,2.319216294108967791e+00,3.080000000000000071e+00,2.343608986195696353e+00
7.755091276883709028e+00,2.380387594568484033e+00,1.120000000000000107e+00,9.168360562912089007e-01
7.575152927798895597e+00,2.419241469319690196e+00,1.080000000000000071e+00,2.620398667789683445e-01
7.388034865494265802e+00,2.450151207648818996e+00,1.000000000000000000e+00,1.570110163580334950e-01
7.197070648448622876e+00,2.475835999428974254e+00,2.439999999999999947e+00,1.391824176602491914e-01
7.002879596982893418e+00,2.496635308365844352e+00,2.200000000000000178e+00,1.237439290390183744e-01
6.806081031418009353e+00,2.512888598165123888e+00,2.040000000000000036e+00,1.103119514091062819e-01
6.607294272074904384e+00,2.524935332532505683e+00,1.879999999999999893e+00,9.855457531038012975e-02
6.407138639274504222e+00,2.533114975173679007e+00,1.720000000000000195e+00,8.818571163474173136e-02
6.206233453337740791e+00,2.537766989794337125e+00,1.640000000000000124e+00,7.895796938951822608e-02
