x,y
6.795264389354120915e+00,2.091403103414624542e+00
6.632084681254243108e+00,2.112932445816821048e+00
6.453347269166749278e+00,2.122207387234705145e+00
6.261613324189177376e+00,2.121919974984976420e+00
6.059444017419055584e+00,2.114762256384335348e+00
5.849400519953920075e+00,2.103426278749482847e+00
5.634044002891304359e+00,2.090604089397119836e+00
5.415935637328738395e+00,2.078987735643945456e+00
5.197547898499480290e+00,2.071168654158573652e+00
4.979980056116358078e+00,2.068180609236896395e+00
4.763250223582614851e+00,2.069830973867020862e+00
4.547347277193104276e+00,2.075893956419432307e+00
4.332260093242673804e+00,2.086143765264613759e+00
4.117977548026172663e+00,2.100354608773049137e+00
3.904488517838454520e+00,2.118300695315223692e+00
3.691781878974365494e+00,2.139756233261620899e+00
3.479846507728755700e+00,2.164495430982724677e+00
3.268671280396474810e+00,2.192292496849018058e+00
3.058245073272370718e+00,2.222921639230987179e+00
2.848556762651296648e+00,2.256157066499114627e+00
2.639595224828103603e+00,2.291772987023883879e+00
2.431349336097634595e+00,2.329543609175780183e+00
2.223807972754746398e+00,2.369243141325286572e+00
2.016960011094282912e+00,2.410645791842889185e+00
1.810794327411096249e+00,2.453525769099069276e+00
1.605299798000039191e+00,2.497657281464311652e+00
1.400465299155955634e+00,2.542814537309101119e+00
1.196279707173702134e+00,2.588771745003921598e+00
9.927318983481201453e-01,2.635303112919256563e+00
7.898107489740635589e-01,2.682182849425590820e+00
5.875051353463858206e-01,2.729185162893406957e+00
3.858039337599292740e-01,2.776084261693190225e+00
1.846960205095477536e-01,2.822654354195424986e+00
-1.582972810990701529e-02,2.868669648770593383e+00
-2.157844358035906351e-01,2.913904353789181112e+00
-4.151792262766507147e-01,2.958132677621672091e+00
-6.140252232342346961e-01,3.001128828638549795e+00
-8.123335503814987923e-01,3.042667015210298587e+00
-1.010115331423587115e+00,3.082521445707400609e+00
-1.207381690065655988e+00,3.120466328500342446e+00
-1.404143750012853076e+00,3.156275871959608459e+00
-1.600412634970324932e+00,3.189724284455679904e+00
-1.796199468643228991e+00,3.220585774359043363e+00
-1.991515374736708477e+00,3.248634550040180535e+00
-2.186371476955920823e+00,3.273644819869577560e+00
-2.380778899006013027e+00,3.295390792217718356e+00
-2.574748764592131423e+00,3.313646675455085067e+00
-2.768292197419432998e+00,3.328186677952163386e+00
-2.961420321193066307e+00,3.338785008079436789e+00
-3.154144259618175461e+00,3.345215874207387863e+00
-3.346475136399919226e+00,3.347253484706503635e+00
-3.538424075243445266e+00,3.344672047947265803e+00
-3.730002199853899469e+00,3.337245772300159175e+00
-3.921220633936439270e+00,3.324748866135668557e+00
-4.112090501196207448e+00,3.306955537824275648e+00
